"40.92339, -73.47353",0,0,0,0,0,0,0,0,0,0
0,"40.92317, -73.47313","40.92304, -73.47270",0,0,0,0,0,0,0,0
0,0,0,"40.92292, -73.47259",0,0,0,0,0,0,0
0,0,0,0,"40.92272, -73.47215","40.92270, -73.47189","40.92249, -73.47151",0,0,"40.92251, -73.47044","40.92256, -73.47001"
0,0,0,0,0,0,0,"40.92240, -73.47112","40.92239, -73.47084",0,0
